449
449

--- BACKTEST RESULT ---
Balance: 35080.83
PnL:     34980.83

--- TRADES ---
Total:    2429
Win rate: 42.77%

--- PERFORMANCE ---
Avg Win:       484.95
Avg Loss:      -337.32
Profit Factor: 1.07
Expectancy:    14.40

--- RISK ---
Max Drawdown: 68.48%

--- BEHAVIOR ---
Avg Hold: 167.40 bars
Full Stats (Sorted by Losses):
┌─────────┬───────────────────────┬──────┬────────┬──────────┬─────────┐
│ (index) │ Symbol                │ Wins │ Losses │ TotalPnL │ WinRate │
├─────────┼───────────────────────┼──────┼────────┼──────────┼─────────┤
│ 0       │ '1000RATSUSDT'        │ 2    │ 16     │ -2843.43 │ 11.11   │
│ 1       │ 'ORDIUSDT'            │ 9    │ 15     │ -8023.2  │ 37.5    │
│ 2       │ 'PENDLEUSDT'          │ 5    │ 14     │ -5463.32 │ 26.32   │
│ 3       │ 'EDUUSDT'             │ 7    │ 14     │ -2267.32 │ 33.33   │
│ 4       │ 'PORTALUSDT'          │ 4    │ 13     │ -595.09  │ 23.53   │
│ 5       │ 'AUCTIONUSDT'         │ 6    │ 12     │ -2994.06 │ 33.33   │
│ 6       │ '10000SATSUSDT'       │ 5    │ 12     │ -957.54  │ 29.41   │
│ 7       │ 'ENAUSDT'             │ 8    │ 11     │ -1733.36 │ 42.11   │
│ 8       │ 'KMNOUSDT'            │ 2    │ 11     │ -617.81  │ 15.38   │
│ 9       │ 'CYBERUSDT'           │ 5    │ 11     │ -1591.31 │ 31.25   │
│ 10      │ 'POPCATUSDT'          │ 6    │ 10     │ -272.9   │ 37.5    │
│ 11      │ 'PIXELUSDT'           │ 5    │ 10     │ 1737.71  │ 33.33   │
│ 12      │ 'GODSUSDT'            │ 6    │ 10     │ 2802.1   │ 37.5    │
│ 13      │ 'METISUSDT'           │ 11   │ 10     │ 1999.93  │ 52.38   │
│ 14      │ 'BBUSDT'              │ 2    │ 10     │ -351.69  │ 16.67   │
│ 15      │ 'OXTUSDT'             │ 7    │ 10     │ 9697.32  │ 41.18   │
│ 16      │ 'NMRUSDT'             │ 1    │ 10     │ -4854.34 │ 9.09    │
│ 17      │ 'MAVUSDT'             │ 6    │ 10     │ 478.28   │ 37.5    │
│ 18      │ 'DEEPUSDT'            │ 3    │ 9      │ -233.91  │ 25      │
│ 19      │ 'AEVOUSDT'            │ 8    │ 9      │ 1708.72  │ 47.06   │
│ 20      │ 'BOMEUSDT'            │ 5    │ 9      │ 2032.17  │ 35.71   │
│ 21      │ 'IOUSDT'              │ 2    │ 9      │ -672.87  │ 18.18   │
│ 22      │ 'BIGTIMEUSDT'         │ 10   │ 9      │ 4156.07  │ 52.63   │
│ 23      │ 'AGIUSDT'             │ 6    │ 9      │ -3578.44 │ 40      │
│ 24      │ 'PYTHUSDT'            │ 11   │ 9      │ 7152.21  │ 55      │
│ 25      │ '1000TURBOUSDT'       │ 8    │ 9      │ 588.89   │ 47.06   │
│ 26      │ 'ARKMUSDT'            │ 7    │ 9      │ 1329.36  │ 43.75   │
│ 27      │ 'MERLUSDT'            │ 2    │ 8      │ -1425.03 │ 20      │
│ 28      │ 'NOTUSDT'             │ 4    │ 8      │ 188.58   │ 33.33   │
│ 29      │ 'DEGENUSDT'           │ 5    │ 8      │ 425.98   │ 38.46   │
│ 30      │ 'AXLUSDT'             │ 4    │ 8      │ -2702.6  │ 33.33   │
│ 31      │ 'OGNUSDT'             │ 1    │ 8      │ -4700.57 │ 11.11   │
│ 32      │ 'ARCUSDT'             │ 4    │ 8      │ -102     │ 33.33   │
│ 33      │ 'CETUSUSDT'           │ 6    │ 8      │ -1479.45 │ 42.86   │
│ 34      │ 'SAFEUSDT'            │ 7    │ 8      │ -1656.14 │ 46.67   │
│ 35      │ 'JTOUSDT'             │ 5    │ 8      │ 975.85   │ 38.46   │
│ 36      │ 'ATHUSDT'             │ 7    │ 7      │ 464.47   │ 50      │
│ 37      │ 'GIGAUSDT'            │ 5    │ 7      │ -41.71   │ 41.67   │
